player,team,fg,fg_att,xp,site_pts,src_id,data_src,pos,id,opp,xp_att,fg_0019,fg_2029,fg_3039,fg_4049,fg_50,fg_miss,xp_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Harrison Butker,KC,1.8,2,3.1,8.4,16712,FantasyPros,K,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,SEA,1.9,2,2.5,8.3,14003,FantasyPros,K,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,PHI,1.8,2.1,2.5,7.9,16540,FantasyPros,K,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,SF,1.6,1.9,2.8,7.7,24009,FantasyPros,K,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,BAL,1.7,1.9,2.3,7.4,11465,FantasyPros,K,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,BUF,1.7,2.1,2.2,7.4,19760,FantasyPros,K,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,PIT,1.8,2.1,2.1,7.4,13029,FantasyPros,K,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,JAC,1.8,2.1,2,7.3,13274,FantasyPros,K,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,DEN,1.7,2.1,2,7.2,16026,FantasyPros,K,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,CLE,1.8,2.2,1.8,7.1,11818,FantasyPros,K,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,LAR,1.6,2.1,2.5,7.1,12378,FantasyPros,K,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,MIN,1.7,1.9,2,7.1,17647,FantasyPros,K,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,MIA,1.3,1.7,2.9,6.9,17533,FantasyPros,K,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,CHI,1.7,1.9,1.8,6.8,13731,FantasyPros,K,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,TB,1.5,2.1,2.3,6.8,19058,FantasyPros,K,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,ATL,1.7,1.9,1.7,6.8,16910,FantasyPros,K,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,WAS,1.7,2,1.7,6.7,19028,FantasyPros,K,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,LAC,1.5,2,2.3,6.7,23901,FantasyPros,K,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,DET,1.4,1.8,2.5,6.7,23370,FantasyPros,K,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,IND,1.5,1.9,2.1,6.6,18545,FantasyPros,K,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,GB,1.4,1.9,2.3,6.5,25465,FantasyPros,K,16339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,NYG,1.6,1.7,1.6,6.5,9232,FantasyPros,K,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,NO,1.5,2.1,2.1,6.5,25533,FantasyPros,K,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,ARI,1.5,1.9,1.9,6.3,9443,FantasyPros,K,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,LV,1.4,1.8,2.2,6.3,17420,FantasyPros,K,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,NE,1.3,1.6,1.5,5.3,25354,FantasyPros,K,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maher, Brett",LAR,2.2,2.7,2.4,9.3,NA,FantasySharks,K,13909,PIT,2.4,0,0.5,0.6,0.7,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",KCC,1.9,2.1,3,9,NA,FantasySharks,K,13354,LAC,3.1,0,0.4,0.8,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boswell, Chris",PIT,2.1,2.4,1.5,8.7,NA,FantasySharks,K,11936,@LAR,1.5,0,0.4,0.4,0.8,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",PHI,1.9,2.1,2.7,8.6,NA,FantasySharks,K,13303,MIA,2.8,0,0.5,0.7,0.3,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",JAC,1.9,2.2,2.1,8.4,NA,FantasySharks,K,11947,@NOS,2.2,0,0.2,0.5,0.9,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",CLE,2.1,2.5,1.3,8.3,NA,FantasySharks,K,11387,@IND,1.3,0,0.2,0.4,0.9,0.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",BUF,1.5,1.7,3.6,8.2,NA,FantasySharks,K,14983,@NEP,3.7,0,0.3,0.6,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myers, Jason",SEA,2,2.3,2.4,8.2,NA,FantasySharks,K,12437,ARI,2.5,0,0.5,1,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",BAL,2,2.3,1.7,8.1,NA,FantasySharks,K,10976,DET,1.8,0,0.7,0.5,0.5,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterson, Riley",DET,1.6,1.8,3.4,8,NA,FantasySharks,K,15369,@BAL,3.4,0,0.3,1,0.3,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",LVR,1.9,2.1,1.8,7.9,NA,FantasySharks,K,13718,@CHI,1.8,0,0.7,0.5,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moody, Jake",SFO,1.5,1.8,3.4,7.8,NA,FantasySharks,K,16286,@MIN,3.5,0,0.8,0.3,0.3,0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",NYG,1.8,2,1.4,7.6,NA,FantasySharks,K,9694,WAS,1.5,0,0.2,0.5,0.5,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",TBB,1.9,2.2,1.4,7.2,NA,FantasySharks,K,14717,ATL,1.4,0,0.5,0.6,0.3,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",ATL,1.7,1.9,1.6,7.2,NA,FantasySharks,K,13403,@TBB,1.7,0,0.5,0.5,0.5,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",ARI,1.8,2.1,1.3,7.2,NA,FantasySharks,K,8930,@SEA,1.4,0,0.3,0.7,0.3,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",IND,1.5,1.8,1.7,7,NA,FantasySharks,K,14244,CLE,1.7,0,0.4,0.3,0.3,0.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Anders",GBP,1.5,1.6,2.2,6.9,NA,FantasySharks,K,16339,@DEN,2.3,0,0.4,0.7,0.1,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicker, Cameron",LAC,1.5,1.6,2.3,6.8,NA,FantasySharks,K,15979,@KCC,2.3,0,0.6,0.6,0.3,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",MIN,1.4,1.6,2.4,6.8,NA,FantasySharks,K,13898,SFO,2.7,0,0.5,0.2,0.3,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",CHI,1.5,1.6,1.7,6.6,NA,FantasySharks,K,11945,LVR,1.9,0,0.5,0.4,0.4,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grupe, Blake",NOS,1.8,2.3,1.5,6.4,NA,FantasySharks,K,16444,JAC,1.6,0,0.5,0.5,0.4,0.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sanders, Jason",MIA,1.2,1.6,3.1,6.1,NA,FantasySharks,K,13832,@PHI,3.2,0,0.3,0.3,0.5,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",DEN,1.4,1.6,1.9,6,NA,FantasySharks,K,12956,GBP,2,0,0.6,0.4,0.2,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",WAS,1.4,1.9,1.6,5.5,NA,FantasySharks,K,14600,@NYG,1.7,0,0.4,0.4,0.4,0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryland, Chad",NEP,1.1,1.6,1.5,3.9,NA,FantasySharks,K,16292,BUF,1.5,0,0.3,0.2,0.5,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,SEA,3,NA,2,11,14584,FFToday,K,12437,ARI,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,KC,2,NA,3,9,15827,FFToday,K,13354,LAC,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,PHI,2,NA,3,9,15860,FFToday,K,13303,MIA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,SF,2,NA,3,9,18599,FFToday,K,16286,MIN,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,BUF,2,NA,2,8,17010,FFToday,K,14983,NE,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,PIT,2,NA,2,8,14644,FFToday,K,11936,LAR,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,NYG,2,NA,2,8,11369,FFToday,K,9694,WAS,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,CLE,2,NA,2,8,13168,FFToday,K,11387,IND,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,MIN,2,NA,2,8,16084,FFToday,K,13898,SF,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,ATL,2,NA,2,8,14905,FFToday,K,13403,TB,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
