id,src_id,pos,player,team,fg_50,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,fg,fg_att,xp,xp_att,data_src,site_pts,opp,fg_0019,fg_2029,fg_3039,fg_4049,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
15979,4362081,K,Cameron Dicker,LAC,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12860,2971573,K,Ka'imi Fairbairn,HOU,0,0,0,1,1,1,2,2,2,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16414,3953687,K,Brandon Aubrey,DAL,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15368,4360234,K,Evan McPherson,CIN,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13354,3055899,K,Harrison Butker,KCC,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10976,15683,K,Justin Tucker,BAL,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8851,10621,K,Nick Folk,TEN,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13303,3050478,K,Jake Elliott,PHI,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14983,3917232,K,Tyler Bass,BUF,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12437,2473037,K,Jason Myers,SEA,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16286,4372066,K,Jake Moody,SF,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14244,4249087,K,Matt Gay,IND,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16339,4242519,K,Anders Carlson,GB,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13832,3124679,K,Jason Sanders,MIA,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15369,4243371,K,Riley Patterson,DET,0,0,0,1,1,1,2,2,3,3,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11947,16339,K,Brandon McManus,JAC,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14717,3150744,K,Chase McLaughlin,TB,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11936,17372,K,Chris Boswell,PIT,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13898,3975763,K,Greg Joseph,MIN,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11387,15965,K,Dustin Hopkins,CLE,0,0,0,1,1,1,2,2,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10868,14993,K,Greg Zuerlein,NYJ,0,0,0,1,1,1,2,2,1,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13719,4034949,K,Eddy Pineiro,CAR,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16043,4245661,K,Lucas Havrisik,LAR,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13403,3049899,K,Younghoe Koo,ATL,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12956,2985659,K,Wil Lutz,DEN,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8930,11122,K,Matt Prater,ARI,0,0,0,1,1,1,2,2,1,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11945,17427,K,Cairo Santos,CHI,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16444,4259619,K,Blake Grupe,NO,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13718,3051909,K,Daniel Carlson,LV,0,0,0,1,1,1,2,2,1,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16292,4363538,K,Chad Ryland,NE,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14600,3124084,K,Joey Slye,WAS,0,0,0,1,1,1,2,2,2,2,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9694,12460,K,Graham Gano,NYG,0,0,0,1,1,1,2,2,1,1,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13980,3123052,K,Michael Badgley,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13347,3043234,K,Zane Gonzalez,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11966,17082,K,Cody Parkey,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13354,16712,K,Harrison Butker,KC,NA,NA,NA,NA,NA,NA,1.8,2,3.1,NA,FantasyPros,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10976,11465,K,Justin Tucker,BAL,NA,NA,NA,NA,NA,NA,1.8,2.1,2.9,NA,FantasyPros,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15369,23370,K,Riley Patterson,DET,NA,NA,NA,NA,NA,NA,1.7,2,3.1,NA,FantasyPros,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15979,23901,K,Cameron Dicker,LAC,NA,NA,NA,NA,NA,NA,1.8,2,2.8,NA,FantasyPros,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
