player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Jason Myers,K,SEA,1,2.2,2.6,0,0,0.5,0.5,0.8,0.8,0.5,0.6,0.4,0.4,2.7,2.7,9.3,9.3,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,1,2.2,2.4,0,0,0.6,0.6,0.6,0.6,0.6,0.7,0.4,0.4,2.7,2.8,9.3,9.3,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,1,1.9,2.2,0,0,0.6,0.6,0.5,0.5,0.5,0.6,0.3,0.3,3.6,3.7,9.3,9.3,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,2,2.5,0,0,0.6,0.6,0.6,0.6,0.5,0.7,0.2,0.2,3.2,3.2,9.2,9.2,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,2.1,2.3,0,0,0.5,0.5,0.6,0.6,0.6,0.7,0.4,0.4,2.7,2.9,9,9,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brayden Narveson,K,GB,1,2,2.4,0,0,0.6,0.6,0.6,0.7,0.6,0.8,0.2,0.2,2.8,2.8,8.8,8.8,2964952,CBS,16873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,2.1,2.4,0,0,0.6,0.6,0.6,0.7,0.5,0.5,0.4,0.4,2.3,2.5,8.6,8.6,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,2,2.3,0,0,0.5,0.5,0.5,0.5,0.6,0.7,0.4,0.4,2.4,2.6,8.4,8.4,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.8,2.2,0,0,0.5,0.5,0.5,0.6,0.5,0.7,0.2,0.2,2.5,2.6,7.9,7.9,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.9,2.2,0,0,0.5,0.5,0.5,0.6,0.5,0.6,0.4,0.4,2.2,2.2,7.9,7.9,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
